State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Maharashtra,Ratnagiri,2024-04-17,2024,04,9.5723753349,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-04-06,2024,04,9.5854146966,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-04-08,2024,04,9.5943581757,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-04-26,2024,04,9.0598838474,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-04-30,2024,04,9.1132029857,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-08,2024,06,25.093939548,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-14,2024,06,31.1325831526,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-17,2024,06,29.5080208765,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-19,2024,06,29.4483275401,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-24,2024,06,32.5035822481,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-29,2024,06,33.624868157,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-06-30,2024,06,33.8330167384,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-01-10,2024,01,12.9245335035,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-01-17,2024,01,11.9872041158,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-01-20,2024,01,11.6877371139,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-01-29,2024,01,10.9451684038,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-07,2024,05,9.3609996959,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-09,2024,05,9.8520995653,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-13,2024,05,9.6912119976,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-25,2024,05,19.7484987431,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-26,2024,05,19.4028127821,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-05-29,2024,05,19.0536670591,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-09-02,2024,09,34.8574402052,NRSC VIC MODEL
Maharashtra,Ratnagiri,2024-09-03,2024,09,34.7795228374,NRSC VIC MODEL
